ParkName,Long,Lat,review_count_by_park,geometry,size_category,sentiment_x,weighted_average_sentiment,Discovery_percentage,Engagement_percentage,Frustration & Annoyance_percentage,Inspiration_percentage,Relaxation_percentage,Sorrow_percentage,Discovery_percentage_weighted,Engagement_percentage_weighted,Frustration & Annoyance_percentage_weighted,Inspiration_percentage_weighted,Relaxation_percentage_weighted,Sorrow_percentage_weighted,Dominant_Emotion_weighted,sentiment_y
Penn Treaty Park,-75.128479,39.966274,1318,POINT (-75.128479 39.966274),250,0.7265343333683535,0.6856676774410045,13.88,0.46,0.3,19.35,66.01,0.0,12.55,0.11,0.12,21.12,66.1,0.0,Relaxation,0.7265343333683535
Philadelphia Vietnam Veterans Memorial,-75.142773,39.943987,43,POINT (-75.142773 39.943987),50,0.8189812954082045,0.699099733128253,2.33,2.33,4.65,27.91,60.47,2.33,0.33,3.78,1.25,25.08,61.82,7.74,Relaxation,0.8189812954082045
Ben Barkan Park,-75.221561,39.953829,57,POINT (-75.221561 39.953829),50,0.6066283761409291,0.5971392031068393,8.77,0.0,0.0,33.33,57.89,0.0,22.57,0.0,0.0,18.42,59.01,0.0,Relaxation,0.6066283761409291
Bartrams Mile Trail Greenway (56th),-75.206924,39.935125,56,POINT (-75.206924 39.935125),50,0.8698223786694663,0.922573806880369,7.14,0.0,0.0,17.86,75.0,0.0,2.24,0.0,0.0,31.75,66.01,0.0,Relaxation,0.8698223786694663
Devereaux Ave Trailhead at K and T Trail,-75.206924,39.935125,56,POINT (-75.206924 39.935125),50,0.8698223786694663,0.922573806880369,7.14,0.0,0.0,17.86,75.0,0.0,2.24,0.0,0.0,31.75,66.01,0.0,Relaxation,0.8698223786694663
Stephen Girard Park,-75.183447,39.920322,131,POINT (-75.183447 39.920322),100,0.765862803877765,0.7489514710649329,16.03,2.29,0.76,19.85,61.07,0.0,19.83,5.76,2.06,23.63,48.72,0.0,Relaxation,0.765862803877765
Ned Wolf Park,-75.196502,40.049056,28,POINT (-75.196502 40.049056),50,0.9279254121439797,0.980172878451536,14.29,0.0,3.57,10.71,71.43,0.0,31.56,0.0,0.7,4.67,63.08,0.0,Relaxation,0.9279254121439797
Belmont Grove,-75.215304,39.992323,64,POINT (-75.215304 39.992323),50,0.6909467652440071,0.6606979524828736,9.38,3.12,0.0,18.75,68.75,0.0,21.13,0.45,0.0,17.89,60.53,0.0,Relaxation,0.6909467652440071
Colonel Thomas J Powers Park,-75.108931,39.982504,51,POINT (-75.108931 39.982504),50,0.6942391395568848,0.5293551384437061,7.84,0.0,1.96,27.45,62.75,0.0,6.94,0.0,0.35,30.26,62.45,0.0,Relaxation,0.6942391395568848
Marconi Plaza,-75.171128,39.915667,389,POINT (-75.171128 39.915667),150,0.6799055909436282,0.718077695350626,7.2,0.77,1.54,30.08,60.15,0.26,10.49,1.88,2.68,23.2,61.71,0.04,Relaxation,0.6799055909436282
Malcolm X Memorial Park,-75.225427,39.952663,694,POINT (-75.225427 39.952663),200,0.6648922446653548,0.7082928988926007,10.95,0.14,1.3,27.52,60.09,0.0,10.67,0.04,2.54,23.91,62.83,0.0,Relaxation,0.6648922446653548
Susan Gorgas Park,-75.22122,40.037306,352,POINT (-75.22122 40.037306),150,0.8566331694071944,0.7973766331362231,11.65,1.14,2.27,15.06,69.89,0.0,12.11,1.13,1.27,14.95,70.55,0.0,Relaxation,0.8566331694071944
I-95 Park,-75.142009,39.947778,192,POINT (-75.142009 39.947778),100,0.7536966052527229,0.6658336908494775,7.29,1.04,0.0,31.25,60.42,0.0,5.51,3.58,0.0,26.93,63.99,0.0,Relaxation,0.7536966052527229
Frankford and Pennypack Park,-75.035803,40.049551,72,POINT (-75.035803 40.049551),50,0.6255315641562144,0.6146213956310489,15.28,0.0,0.0,26.39,58.33,0.0,12.82,0.0,0.0,24.95,62.24,0.0,Relaxation,0.6255315641562144
Pennypack Park,-75.035803,40.049551,72,POINT (-75.035803 40.049551),50,0.6255315641562144,0.6146213956310489,15.28,0.0,0.0,26.39,58.33,0.0,12.82,0.0,0.0,24.95,62.24,0.0,Relaxation,0.6255315641562144
Gold Star Park,-75.15518,39.93294,74,POINT (-75.15518 39.93294),50,0.5688200770197688,0.5297034967463488,17.57,1.35,0.0,27.03,54.05,0.0,21.35,0.07,0.0,22.63,55.95,0.0,Relaxation,0.5688200770197688
Frank Palumbo Sr Park,-75.155587,39.93926,27,POINT (-75.155587 39.93926),50,0.9282318419880338,0.9406161258637363,7.41,0.0,0.0,7.41,85.19,0.0,1.24,0.0,0.0,3.19,95.57,0.0,Relaxation,0.9282318419880338
Giuseppe Bardascino Park,-75.159919,39.937796,42,POINT (-75.159919 39.937796),50,0.5716036473001752,0.7605063010846829,9.52,0.0,0.0,28.57,61.9,0.0,1.6,0.0,0.0,18.83,79.57,0.0,Relaxation,0.5716036473001752
