objectID,type,ParkName,GoogleID,Lat,Long,NumberRatings,inPhilly,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Point,Bradford Park,ChIJkUcIDRm0xokRQ-fOeHeIelw,40.04888,-75.05308,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Point,Edgley Fields,ChIJkx69eJzHxokRM-fqZI1OnGk,39.990263,-75.192361,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Point,Trenton and Auburn Playground,ChIJh5qgAi_IxokRQBeF-GVVB8g,39.98645,-75.11635,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Point,West Fairmount Park,ChIJx5yI0RzHxokRH-6ferXgYLs,39.990389,-75.20272,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Point,Edward Shippen Plaza (Bainbridge Green),ChIJkfXY6Z7IxokRwoLmLYKPGno,39.940736,-75.150167,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Point,Morton Playground,ChIJ45NZ0TS4xokRJmx4XQuX4_w,40.04006,-75.17437,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Point,Wisters Woods Park,ChIJbTO09im4xokR6p2LxTzm-Qs,40.033936,-75.156362,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Point,Fairview Park,ChIJJ_MOvuu4xokRkDZS7pO5axo,40.03036,-75.22026,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Point,Lawrence Street Playground,ChIJsfdf9HrIxokR8ipgB4VGkf4,39.96536,-75.14542,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Point,Clifford Park,ChIJZ8Ie9lC4xokRuPFx7tO92B4,40.03495,-75.19249,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Point,Fairhill Square,ChIJ02Zssa_JxokRLAa-XViQ1pc,39.991074,-75.138697,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Point,Lovett Park,ChIJ04xxQN-5xokRolxTyGL2lfU,40.05679,-75.18763,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Point,Ronald Trumbette Playground,ChIJfXXTXYW0xokRWry7JiRqoeM,40.048374,-75.005417,23,1,no google ID here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Point,CCA Baldi School Playground,ChIJgbQKI9uzxokR-qVMyL3_iYY,40.092014,-75.05062,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Point,Diamond Park,ChIJ_9KHsvvHxokRifh-I_LiRSo,39.9853,-75.16276,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Point,Brewerytown Garden,ChIJycUXN7_HxokRBTaYXzyrnow,39.976919,-75.179614,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Point,Hammond and Nedro Fields,ChIJEUGgTwS3xokRh1m4g0c7rdU,40.040108,-75.11596,20,1,also called Feliz Filadelfia in Tony Creek Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Point,Manayunk Bridge,ChIJJ8dYEb64xokRGhaC7Gp2e_I,40.02533,-75.22661,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Point,Ann P Nichols Park,ChIJ0aqG8IPHxokR5LUIL7uvHXM,39.96369,-75.22983,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Point,Carpenter Green Park,ChIJXdz9LKDHxokRSDnYqyKrtj8,39.939915,-75.171451,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Point,Ford Road Playground,ChIJLT7znHvHxokR8JA8y0FPSus,39.998951,-75.207771,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Point,Jacob Stinger Park,ChIJDRhqDmPGxokR7WSwfJ9wBKk,39.93656,-75.19734,16,1,really about playground here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Point,Bartrams Mile Trail Greenway (Grays Ferry),ChIJ57dXKYnGxokRnBwkM_0DYgM,39.937493,-75.206694,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
