ParkName,Long,Lat,review_count_by_park,geometry,size_category,sentiment,weighted_average_sentiment,Discovery_percentage,Engagement_percentage,Frustration & Annoyance_percentage,Inspiration_percentage,Relaxation_percentage,Sorrow_percentage,Discovery_percentage_weighted,Engagement_percentage_weighted,Frustration & Annoyance_percentage_weighted,Inspiration_percentage_weighted,Relaxation_percentage_weighted,Sorrow_percentage_weighted,Dominant_Emotion_weighted
Benjamin Franklin Parkway,-75.173259,39.959819,30,POINT (-75.173259 39.959819),50,0.5494371751944224,0.4686052890709522,0.0,6.67,3.33,53.33,36.67,0.0,0.0,8.2,1.48,44.92,45.4,0.0,Relaxation
John Dickinson Square,-75.15086,39.92789,218,POINT (-75.15086 39.92789),100,0.6563051326559224,0.8063318487723193,1.38,20.64,4.59,50.0,22.02,1.38,0.1,33.66,5.64,44.74,14.8,1.06,Inspiration
Jefferson Square,-75.15013,39.93357,130,POINT (-75.15013 39.93357),100,0.6795522781518789,0.4476316853654315,0.0,17.69,3.08,54.62,24.62,0.0,0.0,15.02,5.66,48.58,30.73,0.0,Inspiration
Frank Palumbo Sr Park,-75.155587,39.93926,27,POINT (-75.155587 39.93926),50,0.9282318419880338,0.9405874337353343,0.0,25.93,0.0,66.67,7.41,0.0,0.0,22.23,0.0,74.59,3.19,0.0,Inspiration
Belmont and Edgley Fields,-75.213776,39.995501,31,POINT (-75.213776 39.995501),50,0.4183728867961514,0.24557923667558157,6.45,6.45,6.45,48.39,32.26,0.0,3.42,6.57,16.59,43.47,29.95,0.0,Inspiration
Ben Barkan Park,-75.221561,39.953829,57,POINT (-75.221561 39.953829),50,0.6066283761409291,0.597095970689747,0.0,15.79,0.0,49.12,33.33,1.75,0.0,38.37,0.0,40.4,18.42,2.81,Inspiration
Pleasant Hill Park,-74.99284,40.04257,1479,POINT (-74.99284 40.04257),250,0.6633873372725976,0.6173694530640045,0.95,21.64,4.19,54.7,17.85,0.68,0.9,24.18,6.43,48.43,18.78,1.27,Inspiration
Harrowgate Park,-75.106369,39.999218,139,POINT (-75.106369 39.999218),100,0.41961537419463235,0.5765115685368494,1.44,19.42,11.51,35.97,30.94,0.72,4.51,23.09,14.66,38.37,19.13,0.24,Inspiration
Pennypack on the Delaware,-75.019521,40.027687,116,POINT (-75.019521 40.027687),100,0.7136831026652763,0.5038125591714042,2.59,12.93,3.45,64.66,16.38,0.0,5.46,12.61,8.49,59.24,14.19,0.0,Inspiration
East Fairmount Park,-75.197028,39.984455,2028,POINT (-75.197028 39.984455),250,0.7918250766202543,0.7554103206446385,1.08,14.79,1.68,61.0,21.3,0.15,0.62,17.33,2.05,58.13,21.24,0.63,Inspiration
Fitler Square,-75.17976,39.9476,60,POINT (-75.17976 39.9476),50,0.7767953207095464,0.7788315559979332,0.0,15.0,0.0,58.33,25.0,1.67,0.0,15.04,0.0,52.97,31.88,0.12,Inspiration
Overington Park,-75.08828,40.016999,88,POINT (-75.08828 40.016999),50,0.6757358983159065,0.6506476774569133,1.14,21.59,3.41,56.82,17.05,0.0,8.06,19.74,8.77,47.32,16.12,0.0,Inspiration
Matthias Baldwin Park,-75.168948,39.961667,81,POINT (-75.168948 39.961667),50,0.7966392113838667,0.7449753343604849,2.47,17.28,1.23,60.49,18.52,0.0,2.84,12.47,0.05,56.66,27.98,0.0,Inspiration
Malcolm X Memorial Park,-75.225427,39.952663,694,POINT (-75.225427 39.952663),200,0.6648922446653548,0.7082268374268799,0.29,23.63,4.47,46.97,23.78,0.86,0.19,29.51,3.95,44.65,20.37,1.33,Inspiration
